Cumulative Stat Rank,Price ,Cumulative,Visual Rarity URL,Kong ID,Shooting,Finish,Defense,Vision,Background,Fur,Clothes,Mouth,Head,Head Accessory,Eyes,Jewellery,Owner Address,Number of Sales,Last Sale Date,Last Sale Price,Last List Date,Current Price
2572, ,218,https://rarity.tools/rumble-kong-league/view/0,0,42,81,41,54,Gold,Grey,White Tee,Saber Toothed,,,Bloodshot,,0x465dca9995d6c2a81a9be80fbced5a770dee3dae,0, , , , 
4113, ,204,https://rarity.tools/rumble-kong-league/view/1,1,40,59,53,52,Light Grey,Brown,Red Kimono,Regular,Green Beret,,Angry,,0xc212fc9e1a61b8400e0323fde83ed1fe359e3312,0, , , , 
2461, ,219,https://rarity.tools/rumble-kong-league/view/2,2,66,60,63,30,Light Blue,Grey,Striped Tee,Ooh,Green Beret,,Closed,,0x465dca9995d6c2a81a9be80fbced5a770dee3dae,0, , , , 
1031, ,237,https://rarity.tools/rumble-kong-league/view/3,3,45,74,55,63,Brown,Pink,Dego Tee Blooded,Shows Teeth,,,Wide Scar,,0xba351b8e093c40df954b9328484036fb271b4d86,0, , , , 
3889, ,206,https://rarity.tools/rumble-kong-league/view/4,4,46,45,55,60,Pink,White Noise,,Regular,Cap Forward,,Regular,,0x05ae0683d8b39d13950c053e70538f5810737bc5,0, , , , 
7407, ,177,https://rarity.tools/rumble-kong-league/view/5,5,36,38,50,53,Light Grey,Pink,Dress,Ooh,Chopsticks Bun,,Closed Scar,,0x22938208e888655c9ad3c781f7247e2357a2ab4a,1,8/12/2021,0.4 ETH, , 
6015, ,189,https://rarity.tools/rumble-kong-league/view/6,6,58,53,42,36,Grey,Black,Fusion Gi,Regular,,,Closed Scar,,0xaf469c4a0914938e6149cf621c54fb4b1ec0c202,0, , , , 
6385, ,186,https://rarity.tools/rumble-kong-league/view/7,7,49,59,43,35,Light Grey,Brown,Shaolin Vest,Scream,Blonde Bun,,Closed Scar,,0xe50cd5f38cfd3b9d7c0c29ae56656fcef22b89bb,0, , , , 
9001, ,157,https://rarity.tools/rumble-kong-league/view/8,8,75,32,18,32,Purple,Sky Blue,Red Kimono,Regular,,,Wide,,0x00000444e5a1a667663b0adfd853e8efa0470698,0, , , , 
7737,20,174,https://rarity.tools/rumble-kong-league/view/9,9,58,39,27,50,Gold,Brown,White Tee,Saber Toothed,RKL Cap Forward,,Angry Scar,,0x07c5e4c12194bc03b4f6397b796df0b6c6e25320,1,8/6/2021,0.75 ETH,9/12/2021 9:08,20.0 ETH
544, ,248,https://rarity.tools/rumble-kong-league/view/10,10,40,62,70,76,Yellow,Black,Striped Tee,Ooh,RKL Cap Sideways,3D Glasses,Wide Scar,,0x58d0f3da9c97de3c39f481e146f3568081d328a2,0, , , , 
1777, ,226,https://rarity.tools/rumble-kong-league/view/11,11,49,62,72,43,Grey,Black,Biker Jacket,Scream,,,Sad,,0x00000444e5a1a667663b0adfd853e8efa0470698,0, , , , 
4865, ,198,https://rarity.tools/rumble-kong-league/view/12,12,63,67,38,30,Dark Blue,Pink,Trippy Tee,Gold Saber Toothed,Chopsticks Bun,,Regular,,0x00000444e5a1a667663b0adfd853e8efa0470698,0, , , , 
7524,2.5,176,https://rarity.tools/rumble-kong-league/view/13,13,42,71,52,11,Pink,Pink,Dego Tee Blooded,Gold Saber Toothed,,,Wide,,0xd387a6e4e84a6c86bd90c158c6028a58cc8ac459,0, , ,9/14/2021 13:10,2.5 ETH
3999, ,205,https://rarity.tools/rumble-kong-league/view/14,14,49,33,43,80,Grey,Sky Blue,Striped Tee,Regular,,,Regular,,0x79479730ad5f4656a010ac5ac9303624d72995a0,1,8/2/2021,0.16 ETH, , 
6955, ,181,https://rarity.tools/rumble-kong-league/view/15,15,57,40,55,29,Grey,Sky Blue,Hawaii Shirt,Tongue Out,Cap Forward,Blue Shades,Regular,,0x0275c1c4a536b71f3dd3c008b16a510c533c6b44,0, , , , 
271, ,259,https://rarity.tools/rumble-kong-league/view/16,16,63,52,80,64,Cyan,Black,White Tee,Shows Teeth,Red Bandana,,Wide,,0xaf469c4a0914938e6149cf621c54fb4b1ec0c202,0, , , , 
5231, ,195,https://rarity.tools/rumble-kong-league/view/17,17,43,20,57,75,Brown,White Noise,Dego Tee Blooded,Shows Teeth,RKL Cap Sideways,,Bloodshot,,0x5eeb21cd9535c3130e683e5ffa51d25ae0926150,0, , , , 
456, ,251,https://rarity.tools/rumble-kong-league/view/18,18,58,78,58,57,Brown,Black,Tracksuit,Shows Teeth,,,Angry,,0x8c547c83c00b72d6bc2ec34dd136fb7f436d10f3,0, , , , 
1377, ,231,https://rarity.tools/rumble-kong-league/view/19,19,38,79,81,33,Grey,White Noise,Cyan Jersey,Gold Saber Toothed,,,Angry,,0x9fc718829f6e281ba597cc41362aa2d5590b544c,1,7/30/2021,0.1 ETH, , 
5890, ,190,https://rarity.tools/rumble-kong-league/view/20,20,51,33,54,52,Grey,Grey,Trippy Tee,Gold Saber Toothed,,Broken Glasses,Wide Scar,,0xef36f4d2a2f04d9284b1758518a9b8c6371accea,0, , , , 
4865,5,198,https://rarity.tools/rumble-kong-league/view/21,21,47,49,64,38,Light Blue,Pink,Hawaii Shirt,Scream,,Gold Stud,Bloodshot,,0x8757f479276a5a5c1e66555ef6c3ba8c11aac369,1,8/28/2021,1.5 ETH,9/8/2021 14:59,5.0 ETH
2989, ,214,https://rarity.tools/rumble-kong-league/view/22,22,64,67,46,37,Grey,Red,Fusion Gi,Scream,Green Beret,,Angry Wink,,0x3ef5f421e155ed29e6fa815fd875bfcd5f22ecd1,0, , , , 
6617, ,184,https://rarity.tools/rumble-kong-league/view/23,23,25,73,64,22,Brown,Black,Biker Jacket,Regular,Chopsticks Bun,,Wide Scar,,0x43de3a240979a1922784cf26ed4e13953166a119,1,8/18/2021,0.199 ETH, , 
1153,17,235,https://rarity.tools/rumble-kong-league/view/24,24,61,35,47,92,Red,Brown,Green Kimono,Scream,RKL Cap Forward,,Regular,,0xb85274215591390155d4ffc7c39f7c05256e6857,1,8/4/2021,0.24 ETH,9/8/2021 4:02,17.0 ETH
9589, ,143,https://rarity.tools/rumble-kong-league/view/25,25,46,40,7,50,Cyan,Brown,,Regular,Bowler,,Angry,,0x465dca9995d6c2a81a9be80fbced5a770dee3dae,1,8/7/2021,0.7 ETH, , 
6149, ,188,https://rarity.tools/rumble-kong-league/view/26,26,44,53,48,43,Cyan,Brown,Hawaii Shirt,Drool,,,Regular,,0xf0d6999725115e3ead3d927eb3329d63afaec09b,0, , , , 
6617, ,184,https://rarity.tools/rumble-kong-league/view/27,27,38,11,94,41,Light Grey,Grey,Tracksuit,Regular,,,Angry Wink,,0xe0aede36df63560c3ef479d9f046fc6f4ad5fd4e,1,7/29/2021,0.075 ETH,9/22/2021 4:14, 
8552, ,164,https://rarity.tools/rumble-kong-league/view/28,28,33,40,20,71,Cyan,Red,Striped Tee,Shows Teeth,RKL Cap Forward,,Regular,,0x0072b97cfb5fcb229cac132c31591bbd09312bee,1,8/4/2021,0.1789 ETH, , 
8085, ,170,https://rarity.tools/rumble-kong-league/view/29,29,36,47,26,61,Purple,White Noise,Striped Tee,Drool,Beanie,,Closed Scar,,0xb341edf7a1979aa0c22cea4d2bc60c5ba47b0458,1,8/3/2021,0.2 ETH, , 
6739,30,183,https://rarity.tools/rumble-kong-league/view/30,30,29,54,42,58,Brown,Brown,Biker Jacket,Scream,,,Wide,,0x11fb54380e040dc4fdfb99e25c562c0567981a44,3,8/31/2021,1.2 ETH,8/31/2021 3:42,30.0 ETH
5110, ,196,https://rarity.tools/rumble-kong-league/view/31,31,59,42,48,47,Pink,Brown,Striped Tee,Gold Saber Toothed,RKL Cap Sideways,,Wide Scar,,0x624bba98c41b0f5ca5044b570580b7bddd78ad54,1,8/6/2021,1.0 ETH, , 
2874, ,215,https://rarity.tools/rumble-kong-league/view/32,32,33,68,32,82,Cyan,Brown,,Kiss,RKL Cap Forward,Gold Stud,Wide,,0x720d330816afd75a72e012f8d669a19918483375,0, , , , 
1852, ,225,https://rarity.tools/rumble-kong-league/view/33,33,71,66,33,55,Light Grey,Pink,,Regular,Horse Jockey Hat,,Wide,,0x720d330816afd75a72e012f8d669a19918483375,0, , , , 
6955, ,181,https://rarity.tools/rumble-kong-league/view/34,34,68,45,36,32,Brown,Red,Dego Tee Blooded,Missing Teeth,Russian Cap,Exotic Earring,Wide,,0x720d330816afd75a72e012f8d669a19918483375,0, , , , 
2777, ,216,https://rarity.tools/rumble-kong-league/view/35,35,55,74,38,49,Cyan,Pink,Biker Jacket,Ooh,Blonde Bun,,Wide Scar,,0x720d330816afd75a72e012f8d669a19918483375,0, , , , 
5231, ,195,https://rarity.tools/rumble-kong-league/view/36,36,52,29,57,57,Purple,White Noise,Shaolin Vest,Drool,Green Beret,3D Glasses,Regular,,0x720d330816afd75a72e012f8d669a19918483375,0, , , , 
7929, ,172,https://rarity.tools/rumble-kong-league/view/37,37,39,44,42,47,Grey,Sky Blue,Biker Jacket,Ooh,RKL Cap Sideways,,Closed Scar,,0x720d330816afd75a72e012f8d669a19918483375,0, , , , 
8552,10,164,https://rarity.tools/rumble-kong-league/view/38,38,40,36,37,51,Brown,Green,Trippy Tee,Kiss,RKL Cap Forward,,Closed Scar,,0x583461ce654c7bd29fded10929deca64887f1131,1,8/6/2021,1.0 ETH,8/8/2021 13:53,10.0 ETH
651, ,245,https://rarity.tools/rumble-kong-league/view/39,39,57,41,77,70,Grey,Grey,Dress,Ooh,,,Angry,,0x720d330816afd75a72e012f8d669a19918483375,0, , , , 
5231, ,195,https://rarity.tools/rumble-kong-league/view/40,40,51,44,47,53,Pink,Brown,Shirt And Tie,Scream,Blonde Bun,Blue Shades,Closed,,0x720d330816afd75a72e012f8d669a19918483375,0, , , , 
7624,2.3,175,https://rarity.tools/rumble-kong-league/view/41,41,35,41,59,40,Pink,Brown,White Tee,Scream,,,Wide,,0x362438c9f9015da84413cdcabec703eda75b4286,1,9/5/2021,1.91 ETH,9/7/2021 4:33,2.3 ETH
5776, ,191,https://rarity.tools/rumble-kong-league/view/42,42,44,73,66,8,Yellow,Hyper Cat,King Jersey,Scream,Gold Horns,,Red Glow,,0x465dca9995d6c2a81a9be80fbced5a770dee3dae,1,7/30/2021,1.5 ETH, , 
3562, ,209,https://rarity.tools/rumble-kong-league/view/43,43,66,49,36,58,Light Grey,Pink,Tracksuit,Drool,Ski Glasses,,Wide,,0x095a7d9f3c901ce02cde5dbacc0751f7974033e3,0, , , , 
1315, ,232,https://rarity.tools/rumble-kong-league/view/44,44,55,27,84,66,Light Blue,Brown,,Referee,Blonde Bun,,Closed Scar,,0x45bb0da5b2995c65ecbbb4bfbf8800bea77e9ad3,0, , , , 
7524, ,176,https://rarity.tools/rumble-kong-league/view/45,45,45,56,50,25,Light Blue,Black,Trippy Tee,Regular,,,Angry,,0x465dca9995d6c2a81a9be80fbced5a770dee3dae,0, , , , 
6149, ,188,https://rarity.tools/rumble-kong-league/view/46,46,35,44,57,52,Dark Blue,Grey,Navy Suit,Ooh,Blonde Bun,,Closed,,0x465dca9995d6c2a81a9be80fbced5a770dee3dae,0, , , , 
7737,5,174,https://rarity.tools/rumble-kong-league/view/47,47,39,34,45,56,Pink,Red,Hawaii Shirt,Ooh,RKL Cap Sideways,Blue Shades,Angry Wink,,0x807bc3b721f2ec61131bafa3bfc95526e7152630,1,8/23/2021,0.3499 ETH,8/23/2021 21:15,5.0 ETH
3780, ,207,https://rarity.tools/rumble-kong-league/view/48,48,57,73,49,28,Pink,Brown,RKL Tee,Gold Smirk,Horse Jockey Hat,,Wide,,0x465dca9995d6c2a81a9be80fbced5a770dee3dae,0, , , , 
7524, ,176,https://rarity.tools/rumble-kong-league/view/49,49,55,36,26,59,Brown,Green,White Tee,Saber Toothed,Horse Jockey Hat,,Closed Scar,,0x465dca9995d6c2a81a9be80fbced5a770dee3dae,0, , , , 
